nyt_name,slug,state_id
Tim Walberg,tim-walberg,MI
Adrian Smith,adrian-smith,NE
Doug Lamborn,doug-lamborn,CO
Kirsten Gillibrand,kirsten-gillibrand,NY
Jason Altmire,jason-altmire,PA
Gus Bilirakis,gus-bilirakis,FL
Kathy Castor,kathy-castor,FL
Yvette D. Clarke,yvette-d-clarke,NY
Steve Cohen ,steve-cohen,TN
Jim Jordan,jim-jordan,OH
Dave Loebsack,dave-loebsack,IA
John Sarbanes,john-sarbanes,MD
Heath Shuler,heath-shuler,NC
Tim Griffin,tim-griffin,AR
John Barrasso,john-barrasso,WY
Laura Richardson,laura-richardson,CA
Bill Foster,bill-foster,IL
Andre D. Carson,andre-carson,IN
Jackie Speier,jackie-speier,CA
Bob Latta,robert-e-latta,OH
Donald J. Cazayoux Jr.,donald-j-cazayoux-jr,LA
Rob Wittman ,robert-j-wittman,VA
Travis W. Childers,travis-w-childers,MS
John Boccieri,john-boccieri,OH
Jeff Merkley,jeff-merkley,OR
Erik Paulsen,erik-paulsen,MN
Aaron Schock,aaron-schock,IL
Betsy Markey,betsy-markey,CO
Harry Teague,harry-teague,NM
Tom Rooney,tom-rooney,FL
Bill Cassidy,bill-cassidy,LA
Lynn Jenkins,lynn-jenkins,KS
Kathy Dahlkemper,kathy-dahlkemper,PA
Steve Driehaus,steve-driehaus,OH
Suzanne M. Kosmas,suzanne-m-kosmas,FL
Martin T. Heinrich,martin-heinrich,NM
Mark Begich,mark-begich,AK
John Adler,john-adler,NJ
Marcia L. Fudge,marcia-l-fudge,OH
Edward E. Kaufman,edward-e-kaufman,DE
Jared Polis,jared-polis,CO
Christopher Lee,christopher-lee,NY
Pedro Pierluisi,pedro-pierluisi,PR
Ann Kirkpatrick,ann-kirkpatrick,AZ
Parker Griffith,parker-griffith,AL
Mike Coffman,mike-coffman,CO
Jim Himes,jim-himes,CT
Debbie Halvorson,debbie-halvorson,IL
S. Brett Guthrie,brett-guthrie,KY
Anh Cao,anh-cao,LA
John Fleming,john-fleming,LA
Frank Kratovil Jr.,frank-kratovil-jr,MD
Gregg Harper,gregg-harper,MS
Blaine Luetkemeyer,blaine-luetkemeyer,MO
Leonard Lance,leonard-lance,NJ
Ben Ray Lujan,ben-ray-lujan,NM
Michael E. McMahon,michael-e-mcmahon,NY
Paul Tonko,paul-tonko,NY
Larry Kissell,larry-kissell,NC
Steve Austria,steve-austria,OH
Kurt Schrader ,kurt-schrader,OR
Glenn Thompson ,glenn-thompson,PA
Phil Roe ,phil-roe,TN
Pete Olson ,pete-olson,TX
Jason Chaffetz ,jason-chaffetz,UT
Glenn Nye,glenn-nye,VA
Tom Perriello,tom-perriello,VA
Cynthia M. Lummis ,cynthia-m-lummis,WY
